Year,Trial,YearTrial,Treatment,PupaDays
2024,1,20241,Top,11
2024,1,20241,Top,11
2024,1,20241,Top,11
2024,1,20241,Top,12
2024,1,20241,Top,12
2024,1,20241,Top,12
2024,1,20241,Top,12
2024,1,20241,Top,12
2024,1,20241,Top,12
2024,1,20241,Top,12
2024,1,20241,Top,12
2024,1,20241,Top,12
2023,1,20231,Top,13
2023,1,20231,Top,13
2023,1,20231,Top,13
2023,1,20231,Top,13
2023,1,20231,Top,13
2024,1,20241,Top,13
2024,1,20241,Top,13
2024,1,20241,Top,13
2024,1,20241,Top,13
2024,1,20241,Top,13
2024,1,20241,Top,13
2024,1,20241,Top,13
2024,1,20241,Top,13
2024,1,20241,Top,13
2024,1,20241,Top,13
2024,1,20241,Top,13
2024,1,20241,Top,13
2024,1,20241,Top,13
2024,1,20241,Top,13
2024,1,20241,Top,13
2024,2,20242,Top,13
2024,2,20242,Top,13
2024,2,20242,Top,13
2023,1,20231,Top,14
2023,1,20231,Top,14
2023,1,20231,Top,14
2023,1,20231,Top,14
2023,1,20231,Top,14
2023,1,20231,Top,14
2023,1,20231,Top,14
2023,1,20231,Top,14
2023,1,20231,Top,14
2023,1,20231,Top,14
2023,1,20231,Top,14
2023,1,20231,Top,14
2023,1,20231,Top,14
2023,1,20231,Top,14
2023,1,20231,Top,14
2023,1,20231,Top,14
2023,1,20231,Top,14
2023,1,20231,Top,14
2023,1,20231,Top,14
2023,1,20231,Top,14
2023,1,20231,Top,14
2023,1,20231,Top,14
2023,1,20231,Top,14
2023,1,20231,Top,14
2023,1,20231,Top,14
2023,1,20231,Top,14
2023,1,20231,Top,14
2023,1,20231,Top,14
2023,1,20231,Top,14
2023,1,20231,Top,14
2023,1,20231,Top,14
2023,1,20231,Top,14
2023,1,20231,Top,14
2023,2,20232,Top,14
2023,2,20232,Top,14
2023,2,20232,Top,14
2023,2,20232,Top,14
2023,2,20232,Top,14
2023,2,20232,Top,14
2023,2,20232,Top,14
2023,2,20232,Top,14
2023,2,20232,Top,14
2023,2,20232,Top,14
2023,2,20232,Top,14
2024,1,20241,Top,14
2024,1,20241,Top,14
2024,1,20241,Top,14
2024,1,20241,Top,14
2024,1,20241,Top,14
2024,2,20242,Top,14
2024,2,20242,Top,14
2024,2,20242,Top,14
2024,2,20242,Top,14
2024,2,20242,Top,14
2024,2,20242,Top,14
2024,2,20242,Top,14
2024,2,20242,Top,14
2024,2,20242,Top,14
2024,2,20242,Top,14
2024,2,20242,Top,14
2024,2,20242,Top,14
2024,2,20242,Top,14
2024,2,20242,Top,14
2024,2,20242,Top,14
2024,2,20242,Top,14
2024,2,20242,Top,14
2024,2,20242,Top,14
2024,2,20242,Top,14
2024,2,20242,Top,14
2024,2,20242,Top,14
2024,2,20242,Top,14
2024,2,20242,Top,14
2024,2,20242,Top,14
2024,2,20242,Top,14
2024,2,20242,Top,14
2024,2,20242,Top,14
2024,2,20242,Top,14
2024,2,20242,Top,14
2024,2,20242,Top,14
2024,2,20242,Top,14
2024,2,20242,Top,14
2024,2,20242,Top,14
2024,2,20242,Top,14
2024,2,20242,Top,14
2024,2,20242,Top,14
2024,2,20242,Top,14
2023,1,20231,Top,15
2023,1,20231,Top,15
2023,2,20232,Top,15
2023,2,20232,Top,15
2024,1,20241,Top,15
2024,1,20241,Top,15
2024,1,20241,Top,15
2024,2,20242,Top,15
2024,2,20242,Top,15
2024,2,20242,Top,15
2024,2,20242,Top,15
2023,1,20231,Top,16
2023,2,20232,Top,16
2023,2,20232,Top,16
2024,2,20242,Top,16
2024,2,20242,Top,16
2024,2,20242,Top,16
2023,2,20232,Top,17
2023,2,20232,Top,17
2024,2,20242,Top,17
2023,2,20232,Top,18
2024,2,20242,Top,18
2024,1,20241,Top,19
2023,2,20232,Top,20
2024,2,20242,Top,22
2024,1,20241,Bottom,12
2024,1,20241,Bottom,12
2024,1,20241,Bottom,12
2024,1,20241,Bottom,12
2024,1,20241,Bottom,12
2023,1,20231,Bottom,13
2024,1,20241,Bottom,13
2024,1,20241,Bottom,13
2024,1,20241,Bottom,13
2024,1,20241,Bottom,13
2024,1,20241,Bottom,13
2024,1,20241,Bottom,13
2024,1,20241,Bottom,13
2024,1,20241,Bottom,13
2024,1,20241,Bottom,13
2024,1,20241,Bottom,13
2024,1,20241,Bottom,13
2024,1,20241,Bottom,13
2024,1,20241,Bottom,13
2024,2,20242,Bottom,13
2024,2,20242,Bottom,13
2024,2,20242,Bottom,13
2023,1,20231,Bottom,14
2023,1,20231,Bottom,14
2023,1,20231,Bottom,14
2023,1,20231,Bottom,14
2023,1,20231,Bottom,14
2023,1,20231,Bottom,14
2023,1,20231,Bottom,14
2023,1,20231,Bottom,14
2023,1,20231,Bottom,14
2023,1,20231,Bottom,14
2023,1,20231,Bottom,14
2023,1,20231,Bottom,14
2023,1,20231,Bottom,14
2023,1,20231,Bottom,14
2023,2,20232,Bottom,14
2023,2,20232,Bottom,14
2024,1,20241,Bottom,14
2024,1,20241,Bottom,14
2024,1,20241,Bottom,14
2024,2,20242,Bottom,14
2024,2,20242,Bottom,14
2024,2,20242,Bottom,14
2024,2,20242,Bottom,14
2024,2,20242,Bottom,14
2024,2,20242,Bottom,14
2024,2,20242,Bottom,14
2024,2,20242,Bottom,14
2024,2,20242,Bottom,14
2024,2,20242,Bottom,14
2024,2,20242,Bottom,14
2024,2,20242,Bottom,14
2024,2,20242,Bottom,14
2024,2,20242,Bottom,14
2024,2,20242,Bottom,14
2024,2,20242,Bottom,14
2024,2,20242,Bottom,14
2024,2,20242,Bottom,14
2024,2,20242,Bottom,14
2023,1,20231,Bottom,15
2023,1,20231,Bottom,15
2023,1,20231,Bottom,15
2023,1,20231,Bottom,15
2023,1,20231,Bottom,15
2023,1,20231,Bottom,15
2023,2,20232,Bottom,15
2023,2,20232,Bottom,15
2023,2,20232,Bottom,15
2023,2,20232,Bottom,15
2023,2,20232,Bottom,15
2023,2,20232,Bottom,15
2024,1,20241,Bottom,15
2024,1,20241,Bottom,15
2024,1,20241,Bottom,15
2024,2,20242,Bottom,15
2024,2,20242,Bottom,15
2024,2,20242,Bottom,15
2024,2,20242,Bottom,15
2024,2,20242,Bottom,15
2024,2,20242,Bottom,15
2024,2,20242,Bottom,15
2023,1,20231,Bottom,16
2023,1,20231,Bottom,16
2023,1,20231,Bottom,16
2023,1,20231,Bottom,16
2023,2,20232,Bottom,16
2023,2,20232,Bottom,16
2023,2,20232,Bottom,16
2023,2,20232,Bottom,16
2023,2,20232,Bottom,16
2024,1,20241,Bottom,16
2024,2,20242,Bottom,16
2024,2,20242,Bottom,16
2024,2,20242,Bottom,16
2024,2,20242,Bottom,16
2024,2,20242,Bottom,16
2024,2,20242,Bottom,16
2024,2,20242,Bottom,16
2023,1,20231,Bottom,17
2023,1,20231,Bottom,17
2023,1,20231,Bottom,17
2023,1,20231,Bottom,17
2024,1,20241,Bottom,17
2024,2,20242,Bottom,17
2024,2,20242,Bottom,17
2023,1,20231,Bottom,18
2023,2,20232,Bottom,18
2023,2,20232,Bottom,18
2024,1,20241,Bottom,18
2024,2,20242,Bottom,18
2023,1,20231,Bottom,19
2024,1,20241,Bottom,19
2024,2,20242,Bottom,20
2024,1,20241,Bottom,21
2024,1,20241,Bottom,21
